season,team,player,age,mp,pts,ht,inches
1988,LAL,James Worthy,26,266,154,6-9,81
1988,LAL,Magic Johnson,28,290,148,6-8,80
1988,LAL,Byron Scott,26,281,132,6-3,75
1988,LAL,Kareem Abdul-Jabbar,40,207,92,7-2,86
1988,LAL,A.C. Green,24,242,70,6-9,81
1988,LAL,Mychal Thompson,33,151,49,6-10,82
1988,LAL,Michael Cooper,31,176,26,6-5,77
1988,LAL,Tony Campbell,25,14,8,6-7,79
1988,LAL,Wes Matthews,28,9,6,6-1,73
1988,LAL,Kurt Rambis,29,33,6,6-8,80
1988,LAL,Mike Smrek,25,6,0,7-0,84
1988,LAL,Milt Wagner,24,5,0,6-5,77
1989,DET,Joe Dumars,25,147,109,6-3,75
1989,DET,Isiah Thomas,27,141,85,6-1,73
1989,DET,Vinnie Johnson,32,95,68,6-2,74
1989,DET,James Edwards,33,97,36,7-0,84
1989,DET,Bill Laimbeer,31,94,32,6-11,83
1989,DET,Mark Aguirre,29,107,30,6-6,78
1989,DET,John Salley,24,81,30,6-11,83
1989,DET,Rick Mahorn,30,98,24,6-10,82
1989,DET,Dennis Rodman,27,94,20,6-7,79
1989,DET,John Long,32,2,2,6-5,77
1989,DET,Fennis Dembo,23,2,0,6-5,77
1989,DET,Micheal Williams,22,2,0,6-2,74
1990,DET,Isiah Thomas,28,192,138,6-1,73
1990,DET,Joe Dumars,26,210,103,6-3,75
1990,DET,James Edwards,34,138,72,7-0,84
1990,DET,Bill Laimbeer,32,191,66,6-11,83
1990,DET,Vinnie Johnson,33,113,61,6-2,74
1990,DET,Mark Aguirre,30,120,48,6-6,78
1990,DET,John Salley,25,143,33,6-11,83
1990,DET,Dennis Rodman,28,79,9,6-7,79
1990,DET,Dave Greenwood,32,33,3,6-9,81
1990,DET,Gerald Henderson,34,2,2,6-2,74
1990,DET,Scott Hastings,29,4,0,6-10,82
1991,CHI,Michael Jordan,27,220,156,6-6,78
1991,CHI,Scottie Pippen,25,218,104,6-8,80
1991,CHI,Horace Grant,25,198,73,6-10,82
1991,CHI,John Paxson,30,159,67,6-2,74
